TRP,x,y,version,entry_id,timestamp,reader_initials,surveyor_n,volume,page,year,state,hubtack_co,baseline,meridian,township,townshipdi,rangenum,rangedir,sectiona,sectionb,interiorse,interiordi,refcorner,traveldir,secondpass,chains,typecorner,cornerid,species,speciescode,verbatim,L1_tree1,L3_tree1,diameter,bearing,degrees,bearingdir,chainstree,species2,speciescode2,verbatim2,L1_tree2,L3_tree2,diameter2,bearing2,degrees2,bearingd_1,chainstree2,species3,speciescode3,verbatim3,L1_tree3,L3_tree3,diameter3,bearing3,degrees3,bearingd_2,chainstree3,species4,speciescode4,verbatim4,L1_tree4,L3_tree4,diameter4,bearing4,degrees4,bearingd_3,chainstree4,ecotype,ecotypenot,ecotype2,ecotypen_1,ecotype3,ecotypen_2,water,nodata,notree,feature,featurenot,timbernote,understory,landnotes,landnotesv,generalnot,recheck,reason,fixed
40N8E3,581073.9577,608113.8072,2.1,14693,NA,Ian Shuman,James Thompson,433,NA,1839,Illinois,Kane,3,3,40,N,8,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,500300,Sugar maple, SU,Sugar maple,sugar maple,Maple,10,N,62,E,49,Walnut, BW,Walnut,walnut,Walnut,12,S,50,E,64,Ash, AX,Ash,ash,Ash,12,N,59,W,37,Ash, AX,Ash,ash,Ash,12,S,70,W,42,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Forest; timber,NA,"Four trees given, Marlin did not include the two Ashes 12 in dia that were clearly also in the notes",NA,NA,NA
42N12E3,624674.7928,627319.8502,2.1,16129,NA,Ian Shuman,George Macoupin,389,NA,1839,Illinois,Cook,3,3,42,N,12,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,600500,White oak,WO,White oak,white oak,Oak,12,N,20,E,51,Hickory, HI,Hickory,hickory,Hickory,14,N,41,W,30,Ash, AX,Ash,ash,Ash,12,S,38,E,47,Ash, AX,Ash,ash,Ash,10,S,34,W,48,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Forest; timber,NA,,NA,NA,NA
42N12E3,624786.1696,628934.3467,2.1,16111,NA,Ian Shuman,George Macoupin,389,NA,1839,Illinois,Cook,3,3,42,N,12,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,600600,Burr oak, BR,Bur oak,bur oak,Oak,20,S,25,E,22,Ash, AX,Ash,ash,Ash,12,S,57,W,45,Ash, AX,Ash,ash,Ash,12,N,44,W,8,Ash, AX,Ash,ash,Ash,12,N,21,E,14,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Forest; timber,NA,,NA,NA,NA
42N13E3,629164.6475,622132.226,2.1,16154,NA,Ian Shuman,George Macoupin,389,NA,1839,Illinois,Cook,3,3,42,N,13,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,300200,White oak,WO,White oak,white oak,Oak,20,S,78,E,36,Ash, AX,Ash,ash,Ash,8,N,80,E,10,Ash, AX,Ash,ash,Ash,10,N,56,W,50,Ash, AX,Ash,ash,Ash,10,S,24,W,16,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Forest; timber,NA,"Three trees given, Marlin did not include the last two (ashes) in his entry. Checked and Updated AP 8-26-21",NA,NA,NA
38N6E3,562575.3933,587930.1065,2.1,13098,NA,Ian Shuman,John P. Thompson,434,NA,1839,Illinois,Kane,3,3,38,N,6,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,600200,White oak,WO,White oak,white oak,Oak,12,S,72,E,297,White oak,WO,White oak,white oak,Oak,10,N,85,E,276,Basswood, BD,Basswood,basswood,Basswood,12,N,75,W,26,Ash, AX,Ash,ash,Ash,8,S,38,W,32,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Open Savanna; timber,NA,"Four trees given, Marlin did not include the Basswod (""Lynn"" in the notes) or the Ash in his entry",NA,NA,NA
42N13E3,630782.5546,622018.9106,2.1,16165,NA,Ian Shuman,George Macoupin,389,NA,1839,Illinois,Cook,3,3,42,N,13,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,400200,Burr oak, BR,Bur oak,bur oak,Oak,10,N,48,W,12,Ash, AX,Ash,ash,Ash,10,S,24,W,14,Burr oak, BR,Burr oak,burr oak,Oak,18,N,42,E,41,Ash, AX,Ash,ash,Ash,10,S,48,E,27,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Forest; timber,NA,"Four trees given, Marlin did not include the last two in his entry, the ashes cannot be differentiated for the TreeDist data so the order given in the notes was used",NA,NA,NA
42N13E3,632343.6629,621901.3151,2.1,16144,NA,Ian Shuman,George Macoupin,389,NA,1839,Illinois,Cook,3,3,42,N,13,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,500200,Ash, AX,Ash,ash,Ash,20,S,37,W,49,Burr oak, BR,Bur oak,bur oak,Oak,12,S,15,E,76,Burr oak, BR,Burr oak,burr oak,Oak,10,N,43,E,167,Ash, AX,Ash,ash,Ash,15,N,80,W,82,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Savanna; timber,NA,"Four trees given, Marlin did not include the last two (the first two in the notes) in his entry. Checked and Updated AP 8-26-21",NA,NA,NA
43N12E3,623515.7377,633856.9132,2.1,16666,NA,Ian Shuman,George Macoupin,389,NA,1839,Illinois,Lake,3,3,43,N,12,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,500300,White oak,WO,White oak,white oak,Oak,30,S,89,E,49,White oak,WO,White oak,white oak,Oak,24,N,68,E,22,Burr oak, BR,Burr oak,burr oak,Oak,20,S,69,W,27,Ash, AX,Ash,ash,Ash,12,N,14,W,60,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Forest; timber,NA,Four trees given,NA,NA,NA
45N12E3,621530.6607,653338.7133,2.1,17116,NA,Ian Shuman,George Macoupin,391,NA,1839,Illinois,Lake,3,3,45,N,12,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,300300,White oak,WO,White oak,white oak,Oak,30,S,50,W,52,Hickory, HI,Hickory,hickory,Hickory,14,S,46,E,47,Burr oak, BR,Burr oak,burr oak,Oak,30,N,33,E,77,Ash, AX,Ash,ash,Ash,8,N,41,W,90,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Woodland; timber,NA,Four trees given,NA,NA,NA
41N13E3,626209.324,619664.1521,2.1,15430,NA,Ian Shuman,George Macoupin,388,NA,1839,Illinois,Cook,3,3,41,N,13,E,NA,NA,NA,NA,NA,NA,NA,NA,Section,300500,Elm, EL,Elm,elm,Elm,12,S,49,W,21,Burr oak, BR,Bur oak,bur oak,Oak,8,N,47,W,21,Elm, EL,Elm,elm,Elm,10,N,6,E,14,Ash, AX,Ash,ash,Ash,8,S,32,E,3,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,Forest; timber,NA,,NA,NA,NA
